兮,1722
暗,1710
始,1705
亲,1705
待,1696
霞,1695
带,1693
迟,1693
容,1693
往,1685
僧,1685
田,1681
阁,1676
罗,1672
休,1671
珠,1671
凉,1670
于,1655
兰,1648
会,1647
信,1645
晴,1643
画,1643
剑,1633
湖,1623
度,1616
虽,1614
燕,1612
首,1607
尚,1606
胜,1602
桃,1600
逐,1596
隔,1596
征,1594
圣,1590
辞,1588
洞,1584
隐,1579
功,1579
识,1579
直,1572
斜,1567
移,1559
群,1559
绕,1551
士,1544
含,1541
夫,1540
亭,1537
岸,1535
步,1526
愿,1523
欢,1514
徒,1514
谢,1514
余,1513
伤,1511
贤,1508
儿,1506
杯,1505
颜,1499
丝,1495
胡,1493
令,1492
浪,1484
倚,1480
争,1478
军,1471
羽,1470
结,1467
寺,1466
琴,1465
学,1460
皇,1458
卧,1445
师,1442
馀,1441
拂,1438
疑,1437
荒,1433
郎,1427
朱,1426
尔,1425
立,1424
解,1424
桂,1420
贵,1416
殿,1413
镜,1413
忧,1411
眼,1411
横,1406
化,1402
锦,1393
用,1389
吴,1387
交,1386
飘,1380
翻,1378
啼,1374
塞,1372
乘,1370
便,1368
易,1364
迹,1363
食,1363
薄,1361
骑,1354
命,1350
钟,1344
药,1344
定,1338
岩,1328
德,1327
异,1325
栖,1315
惜,1313
兵,1312
臣,1312
映,1309
喜,1308
劳,1306
灯,1306
苔,1305
忘,1304
力,1300
说,1295
卷,1291
求,1290
谷,1285
洛,1280
弦,1274
猿,1272
音,1272
及,1262
饮,1260
杨,1259
著,1259
船,1253
径,1245
本,1245
遗,1244
念,1242
荣,1236
斗,1232
教,1231
六,1218
素,1213
冷,1208
由,1208
湘,1208
暖,1207
阙,1206
稀,1205
细,1204
感,1203
迎,1198
折,1197
惟,1195
他,1193
摇,1192
干,1191
魂,1183
条,1182
都,1180
偏,1180
衰,1180
口,1180
侯,1179
即,1176
贫,1176
低,1171
玄,1167
轩,1164
章,1163
极,1160
顾,1158
桥,1154
梁,1153
住,1152
面,1150
彩,1139
引,1139
渐,1136
眠,1133
息,1132
但,1131
良,1130
报,1129
鬓,1128
掩,1121
蓬,1121
八,1118
鼓,1112
战,1109
取,1109
论,1106
怅,1101
元,1099
莲,1098
越,1098
变,1097
宁,1096
纷,1095
目,1095
缘,1095
美,1094
骨,1093
想,1091
频,1089
接,1088
片,1087
邻,1086
武,1085
持,1085
帘,1084
禅,1084
倾,1081
暂,1079
悬,1074
破,1072
宜,1072
叹,1064
载,1064
李,1063
鸡,1062
守,1059
礼,1055
凝,1053
傍,1052
迷,1045
洲,1044
齐,1044
帆,1043
户,1040
冰,1039
枕,1037
莺,1036
宝,1034
罢,1033
佳,1026
京,1025
土,1024
虎,1022
钓,1022
盘,1021
村,1019
泥,1014
伴,1013
必,1010
失,1010
御,1009
俗,1008
许,1008
眉,1004
采,1003
永,1001
昏,998
沉,996
井,995
沧,994
任,993
鸿,982
岭,973
梅,972
内,972
郡,972
精,972
敢,971
沈,967
浦,966
携,966
张,960
观,959
原,956
根,956
字,954
幸,951
收,950
肠,950
管,949
既,948
狂,948
尊,947
床,945
冥,937
室,936
诸,936
急,935
壁,934
指,930
每,927
仍,926
晨,926
举,923
